name,price,side_effects,used_for
AB-Flo-N Tablet,₹ 188.50,"Vomiting,Heartburn,Stomach pain,Upset stomach,Rash,Hives,Itching,Breathing problems,Nasal inflammation,Increased white blood cell count,","Chronic obstructive pulmonary disease (COPD),"
Aztor 10 Tablet,₹ 91.85,"Constipation,Flatulence,Dyspepsia,Abdominal pain,","High cholesterol,Prevention of Heart attack,"
Asthakind Expectorant Sugar Free,₹ 53.09,"Nausea,Diarrhea,Bloating,Indigestion,Vomiting,Stomach pain,Sweating,Dizziness,Headache,Skin rash,Hives,Tremor,Increased heart rate,","Cough with mucus,"
Augmentin Duo Oral Suspension,₹ 60.48,"Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,","Treatment of Bacterial infections,Treatment of Resistance Tuberculosis (TB),"
Anafortan 25 mg/300 mg Tablet,₹ 113.24,"Dryness in mouth,Constipation,Blurred vision,Increased heart rate,","Abdominal pain,"
Avil Injection,₹ 5.11,"Sleepiness,Dryness in mouth,","Allergic conditions,"
Alzumab-L Injection,"₹ 31,800","Infusion reaction,Upper respiratory tract infection,Fever,Itching,","Psoriasis,"
Aceclo Plus Tablet,₹ 76,"Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,","Pain relief,"
Aquasol A Capsule,₹ 27,"No common side effects seen,","Treatment of Vitamin A deficiency,"
Alkasol Oral Solution Sugar Free,₹ 104.69,"Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,","Treatment of Gout,Treatment of Kidney stone,"
Amitone 10mg Tablet,₹ 17.20,"Constipation,Dryness in mouth,Increased heart rate,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Aggressive behavior,Nasal congestion (stuffy nose),Sleepiness,Sweating,Dizziness,Headache,Nausea,Tremor,Speech disorder,Accomodation disorder,Palpitations,Decreased libido,Difficulty in paying attention,","Depression,Neuropathic pain,Migraine,"
Alzumab 25mg Injection,"₹ 8,229.76","Infusion reaction,Upper respiratory tract infection,Fever,Itching,","Psoriasis,"
Acitrom 2 Tablet,₹ 377.30,"Bleeding,","Treatment and prevention of Blood clots,"
Anobliss Cream,₹ 114,"Anal irritation,","Anal fissure,"
Almox 500 Capsule,₹ 72.09,"Rash,Vomiting,Allergic reaction,Nausea,Diarrhea,","Bacterial infections,"
Combiflam Tablet,₹ 38.07,"Heartburn,Indigestion,Nausea,Stomach pain,","Pain relief,Fever,"
Chymoral Forte Tablet,₹ 405.20,"No common side effects seen,","Treatment of Pain relief,Treatment of Swelling,"
Calpol 500mg Tablet,₹ 14.96,"Stomach pain,Nausea,Vomiting,","Pain relief,Fever,"
Ceftum 500mg Tablet,₹ 431,"Rash,Vomiting,Allergic reaction,Increased liver enzymes,Nausea,Diarrhea,","Bacterial infections,"
Cheston Cold Tablet,₹ 42.50,"Nausea,Vomiting,Headache,Fatigue,Dizziness,Dryness in mouth,Sleepiness,Allergic reaction,","Common cold symptoms,"
Clavam 625 Tablet,₹ 200.55,"Vomiting,Nausea,Diarrhea,","Bacterial infections,"
Cyra-D Capsule,₹ 43,"Diarrhea,Stomach pain,Dryness in mouth,Headache,Dizziness,Flatulence,Weakness,Flu-like symptoms,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Clexane 40mg Injection,₹ 425.67,"Bleeding,Headache,Low blood platelets,Increased liver enzymes,","Treatment and prevention of Blood clots,"
Cyclopam Tablet,₹ 48.70,"Nausea,Dryness in mouth,Blurred vision,Sleepiness,Weakness,Nervousness,","Abdominal pain,"
Calpol 650mg Tablet,₹ 30.74,"Stomach pain,Nausea,Vomiting,","Pain relief,Fever,"
Cetrizine Tablet,₹ 18.48,"Sleepiness,Dizziness,","Allergic conditions,"
Crocin Advance Tablet,₹ 20.38,"Stomach pain,Nausea,Vomiting,","Pain relief,Fever,"
Candid-B Cream,₹ 133.50,"Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
Concor 5 Tablet,₹ 96.32,"Nausea,Headache,Slow heart rate,Fatigue,Constipation,Diarrhea,Dizziness,Cold extremities,","Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Cypon Syrup,₹ 98,"Constipation,Dryness in mouth,Drowsiness,Sleepiness,Blurred vision,","Appetite stimulant,"
Concor COR 2.5 Tablet,₹ 64.54,"Nausea,Headache,Slow heart rate,Fatigue,Constipation,Diarrhea,Dizziness,Cold extremities,","Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Ciplox 500 Tablet,₹ 40.73,"Nausea,Diarrhea,","Bacterial infections,"
Cremaffin Plus  Syrup Refreshing Sugar Free,₹ 223.75,"Diarrhea,Stomach pain,","Constipation,"
Citralka Liquid,₹ 95.35,"Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,","Treatment of Gout,Treatment of Kidney stone,"
Ciplox Eye/Ear Drops,₹ 16.96,"Application site irritation,Burning sensation,","Treatment of Bacterial eye / ear infections,"
Cilacar 10 Tablet,₹ 148.34,"Fatigue,Sleepiness,Flushing (sense of warmth in the face, ears, neck and trunk),Headache,Nausea,Dizziness,Palpitations,Edema (swelling),Abdominal pain,","Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),Prevention of Heart attack,Prevention of Stroke,"
Candid Mouth Paint,₹ 149,"No common side effects seen,","Fungal infections of mouth (Thrush),"
Cepodem 200 Tablet,₹ 167,"Rash,Nausea,Diarrhea,","Bacterial infections,"
Cefix 200 Tablet,₹ 107.14,"Nausea,Stomach pain,Indigestion,Diarrhea,","Bacterial infections,"
Cleargel AP Gel,₹ 289,"Skin peeling,Erythema (skin redness),Itching,Dry skin,Burning sensation at the site of application,","Acne,"
Cefakind 500 Tablet,₹ 380.66,"Rash,Vomiting,Allergic reaction,Increased liver enzymes,Nausea,Diarrhea,","Bacterial infections,"
Clexane 60mg Injection,₹ 638.50,"Bleeding,Headache,Low blood platelets,Increased liver enzymes,","Treatment and prevention of Blood clots,"
Clindac A 1% Gel,₹ 225,"Application site reactions (burning, irritation, itching and redness),Skin rash,","Acne,"
Claribid 500 Tablet,₹ 550.60,"Abdominal pain,Diarrhea,Headache,Nausea,Taste change,Vomiting,Indigestion,Rash,","Bacterial infections,"
Calpol T  Tablet,₹ 84.50,"Nausea,Vomiting,Constipation,Weakness,Dizziness,Dryness in mouth,Sleepiness,","Pain relief,"
Dolo 650 Tablet,₹ 30.74,"Stomach pain,Nausea,Vomiting,","Pain relief,Fever,"
Doxy-1 L-Dr Forte Capsule,₹ 95.25,"Diarrhea,Nausea,Vomiting,Stomach pain,Photosensitivity,","Bacterial infections,"
Doxt-SL Capsule,₹ 100,"Diarrhea,Nausea,Vomiting,Stomach pain,Photosensitivity,","Bacterial infections,"
Duphaston 10mg Tablet,₹ 739.76,"Headache,Nausea,Breast pain,","Female infertility,Pain during menstruation,Premenstrual syndrome (PMS),Endometriosis,Heavy menstrual bleeding,"
Doxinate Tablet,₹ 189.42,"Dryness in mouth,Constipation,Lightheadedness,Drowsiness,","Nausea and vomiting in pregnancy,"
Defcort 6 Tablet,₹ 112.75,"Increased appetite,Weight gain,Frequent urge to urinate,Cushing syndrome,Cough,Upper respiratory tract infection,Abnormal hair growth,Obesity,Nasopharyngitis (inflammation of the throat and nasal passages),","Treatment of Inflammatory conditions,Treatment of Autoimmune conditions,Treatment of Cancer,"
Daflon 500mg Tablet,₹ 125,"Abdominal pain,Diarrhea,Headache,Nausea,","Varicose veins,Piles,Lymphedema,"
Diamox Tablet,₹ 57.38,"Headache,Dizziness,Tiredness,Frequent urge to urinate,Tingling sensation of extremity,Numbness of extremity,Loss of appetite,Excitement,Feeling sick,Diarrhea,Taste change,Flushing (sense of warmth in the face, ears, neck and trunk),","Glaucoma,"
Dytor Plus 10 Tablet,₹ 81.19,"Dehydration,Decreased magnesium level in blood,Decreased sodium level in blood,Increased blood uric acid,Breast enlargement in male,Decreased calcium level in blood,","Edema,"
Dolonex DT 20mg Tablet,₹ 178.40,"Vomiting,Stomach pain,Nausea,Headache,Dizziness,","Pain relief,"
Dytor 10 Tablet,₹ 77.19,"Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,","Hypertension (high blood pressure),Edema,"
Drotin-M Tablet,₹ 176.14,"Nausea,Vomiting,Diarrhea,Stomach pain,Loss of appetite,Dryness in mouth,Feeling thirsty,Heartburn,","Abdominal pain,"
Dexona Tablet,₹ 3.94,"Cardiovascular complications,Electrolyte imbalance,Gastrointestinal disorder,Metabolic disorder,Musculoskeletal (bone, muscle or joint) pain,Neurological disorder,Infection,Hiccup,Decreased sperm count,Feeling of discomfort,Cushing syndrome,Weight gain,","Inflammatory conditions,Autoimmune conditions,Cancer,"
Dydroboon Tablet,₹ 500,"Headache,Nausea,Breast pain,","Female infertility,Pain during menstruation,Premenstrual syndrome (PMS),Endometriosis,Heavy menstrual bleeding,"
Drotin DS Tablet,₹ 185.50,"Nausea,Vomiting,Dryness in mouth,Vertigo,","Pain relief,"
Deriphyllin Retard 150  Tablet PR,₹ 27.80,"Nausea,Vomiting,Headache,Restlessness,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Dytor 5 Tablet,₹ 53.90,"Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,","Hypertension (high blood pressure),Edema,"
Deviry 10mg Tablet,₹ 59.95,"Headache,Abdominal pain,Weakness,Dizziness,Irregular menstrual cycle,Nervousness,","Abnormal uterine bleeding,Amenorrhea,"
Dexona Tablet,₹ 6.38,"Cardiovascular complications,Electrolyte imbalance,Gastrointestinal disorder,Metabolic disorder,Musculoskeletal (bone, muscle or joint) pain,Neurological disorder,Infection,Hiccup,Decreased sperm count,Feeling of discomfort,Cushing syndrome,Weight gain,","Inflammatory conditions,Autoimmune conditions,Cancer,"
Duphalac Oral Solution Lemon,₹ 515.02,"Abdominal pain,Nausea,Vomiting,Diarrhea,","Constipation,Hepatic encephalopathy,"
Domstal 10mg Tablet,₹ 26.80,"Headache,Dryness in mouth,Stomach pain,Diarrhea,","Indigestion,Nausea,Vomiting,"
Deplatt A 75 Tablet,₹ 80.85,"Abdominal pain,Bruise,Diarrhea,Gastrointestinal bleeding,Increased bleeding tendency,Nosebleeds,","Prevention of heart attack and stroke,"
Dexona Injection,₹ 10.40,"Electrolyte imbalance,Musculoskeletal (bone, muscle or joint) pain,Gastrointestinal disorder,Skin disorder,Neurological disorder,Menstrual disorder,Abnormal hair growth,Glaucoma,","Treatment of Inflammatory conditions,Treatment of Autoimmune conditions,"
Doxolin 400mg Tablet,₹ 95.35,"Vomiting,Headache,Nausea,Upset stomach,","Treatment and prevention of Asthma,Treatment and prevention of Chronic obstructive pulmonary disease (COPD),"
Duralast 30 Tablet,₹ 172,"Drowsiness,Nausea,Tremor,Vomiting,Dizziness,Erectile dysfunction,Fatigue,Headache,Increased sweating,Indigestion,Restlessness,","Treatment of Premature ejaculation,"
Dalacin C 300mg Capsule,₹ 242.64,"Stomach pain,Nausea,Vomiting,Diarrhea,","Bacterial infections,"
Diane 35 Tablet,₹ 371,"Nausea,Stomach pain,Headache,Weight gain,Breast pain,Mood changes,","Polycystic ovarian syndrome (PCOS),"
Deca-Durabolin 50 Injection,₹ 365.95,"Edema (swelling),Breast enlargement,Nausea,Acne,Breast enlargement in male,","Post menopausal osteoporosis,"
Dynapar Tablet,₹ 64.50,"Nausea,Vomiting,Stomach pain/epigastric pain,Heartburn,Diarrhea,Loss of appetite,","Pain relief,"
Derobin  Ointment,₹ 99.82,"Application site irritation,Skin staining,","Psoriasis,"
Bilashine Tablet,₹ 118,"Headache,Drowsiness,","Treatment of Allergic conditions,"
Betnovate Cream,₹ 18.69,"Application site reactions (burning, irritation, itching and redness),","Treatment of Allergic skin conditions,"
Bilypsa Tablet,"₹ 1,494.90","Weakness,Fever,Stomach inflammation,","Diabetic dyslipidemia (high cholesterol in diabetes),"
Baclof 10 Tablet,₹ 112.56,"Fatigue,Weakness,Drowsiness,Dizziness,","Muscle relaxation,"
Bactrim DS Tablet,₹ 22.58,"Nausea,Vomiting,Skin rash,Allergic reaction,","Bacterial infections,"
Benalgis Tablet,₹ 105.28,"Skin rash,Stomach discomfort,","Treatment of Nutritional deficiencies,"
Buscopan 20mg Injection,₹ 9.74,"Blurred vision,Increased heart rate,Dryness in mouth,Diarrhea,Dilatation of pupil,","Treatment of Pain due to smooth muscle spasm,Treatment of Irritable bowel syndrome,"
Botroclot Topical Solution,₹ 140.40,"No common side effects seen,","Treatment of Bleeding,"
Budecort 200 Inhaler,₹ 394.24,"Difficulty in swallowing,Throat irritation,Fungal infection of mouth,Fungal infection of oropharynx,","Treatment and prevention of Asthma,"
Brakke Tablet,₹ 137.15,"Nausea,Loss of appetite,Dizziness,Headache,","Treatment of Bacterial & parasitic infections,"
Budamate 200 Transhaler,₹ 315.52,"Cough,Fungal infection of mouth,Headache,Hoarseness of voice,Increased heart rate,Musculoskeletal (bone, muscle or joint) pain,Nausea,Respiratory tract infection,Sore throat,Vomiting,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Brevoxyl Cream,₹ 112.90,"Itching,Dry skin,Burning sensation,Erythema (skin redness),Skin peeling,Stinging sensation,","Acne,"
Benegut Suspension,₹ 36.55,"Bloating,Flatulence,","Diarrhea,"
Bilazest 20mg Tablet,₹ 135,"Headache,Drowsiness,","Treatment of Allergic conditions,"
Bilasure M 20mg/10mg Tablet,₹ 158,"Limited data available,","Treatment of Allergic conditions,"
Basalog 100IU/ml Injection,₹ 564.55,"Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),","Diabetes mellitus (Type 1 & Type 2),"
Brevipil 50 Tablet,₹ 148,"Dizziness,Nausea,Sleepiness,Vomiting,Irritation,Behavioural changes,Headache,Agitation,Aggressive behavior,","Epilepsy/Seizures,"
Boostrix Vaccine,"₹ 1,299","Headache,Injection site redness,Pain,Swelling,Weakness,Gastrointesinal symptoms,","Tetanus,Diphtheria,Pertussis,"
Bro-Zedex  SF Syrup,₹ 124.75,"Nausea,Indigestion,Bloating,Vomiting,Diarrhea,Stomach pain,Dizziness,Headache,Sweating,Skin rash,Hives,Tremor,Increased heart rate,Palpitations,","Cough,"
Betavert 16 Tablet,₹ 142,"Headache,Indigestion,Nausea,Stomach pain,Bloating,","Meniere's disease,"
Brutaflam-MR 4 Tablet,₹ 168.19,"Diarrhea,Stomach pain,Indigestion,Flatulence,Swelling of hands,Feet swelling,Flu-like symptoms,","Pain due to muscle spasm,"
Bandy Tablet,₹ 8.56,"Vomiting,Dizziness,Increased liver enzymes,Nausea,Loss of appetite,","Treatment of Parasitic infections,"
Betnesol Injection 1ml,₹ 37.28,"Mood changes,Depression,Upset stomach,Injection site reactions (pain, swelling, redness),","Treatment of Allergic conditions,"
Betacap Plus 10 Capsule SR,₹ 140,"Weight gain,Slow heart rate,Tiredness,Depression,Drowsiness,Abnormal dreams,Cold extremities,","Prevention of Migraine,"
Benzac AC 5% Gel,₹ 198,"Itching,Dry skin,Burning sensation,Erythema (skin redness),Skin peeling,Stinging sensation,","Acne,"
Bupron XL 150 Tablet,₹ 149,"Insomnia (difficulty in sleeping),Allergic reaction,Impaired concentration,Sweating,Headache,Nausea,Vomiting,Dizziness,Dryness in mouth,Taste change,Abdominal pain,Agitation,Anxiety,Fever,Constipation,Tremor,","Depression,Smoking addiction,"
Bharglob 16.5% Injection,₹ 797.64,"Back pain,Chills,Flushing (sense of warmth in the face, ears, neck and trunk),Dizziness,Headache,Nausea,Decreased blood pressure,Muscle pain,Slow heart rate,Wheezing,","Immunoglobulins deficiency,"
Budamate 400 Transcaps,₹ 215.53,"Cough,Fungal infection of mouth,Headache,Hoarseness of voice,Increased heart rate,Musculoskeletal (bone, muscle or joint) pain,Nausea,Respiratory tract infection,Sore throat,Vomiting,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Betacap 20 Tablet,₹ 30,"Tiredness,Weakness,Raynaud phenomenon,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,","Hypertension (high blood pressure),Anxiety,Arrhythmia,Prevention of Heart attack,Prevention of Angina (heart-related chest pain),Prevention of Migraine,"
Botropase Injection,₹ 145.80,"Injection site reactions (pain, swelling, redness),","Bleeding,"
Evion 400mg Capsule,₹ 32.70,"Headache,Dizziness,Blurred vision,Nausea,Diarrhea,Flatulence,Abdominal pain,Rash,Fatigue,Weakness,","Treatment of Vitamin E deficiency,"
Ecosprin-AV 75 Capsule,₹ 50.15,"Abdominal pain,Constipation,Flatulence,Increased liver enzymes,Hepatitis (viral infection of liver),Reye's syndrome like symptoms,","Prevention of heart attack and stroke,"
Ecosprin 75 Tablet,₹ 4.86,"Heartburn,Increased bleeding tendency,Nausea,Upset stomach,Vomiting,","Prevention of Angina (heart-related chest pain),Treatment and prevention of Heart attack,Treatment and prevention of Stroke,"
Enzoflam Tablet,₹ 132,"Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,","Pain relief,"
Evion LC Tablet,₹ 47.13,"No common side effects seen,","Muscle cramps,"
Erytop Gel,₹ 146.39,"Application site reactions (burning, irritation, itching and redness),Skin rash,","Acne,"
Eliquis 2.5mg Tablet,₹ 725,"Bleeding,","Treatment and prevention of Blood clots,"
Eflora Cream,₹ 899,"Acne,Itching,Hair loss,Stinging sensation,Dry skin,Rash,Paresthesia (tingling or pricking sensation),Irritation,Hair follicle inflammation,","Facial hirsutism (Excessive hair growth on face),"
Ecosprin AV 75/20 Capsule,₹ 32.52,"Abdominal pain,Constipation,Flatulence,Increased liver enzymes,Hepatitis (viral infection of liver),Reye's syndrome like symptoms,","Prevention of heart attack and stroke,"
Ecosprin Gold  20 Capsule,₹ 133.09,"Increased bleeding tendency,Abdominal pain,Indigestion,Bruise,Nosebleeds,Gastrointestinal bleeding,Diarrhea,","Prevention of Heart attack,"
Etoshine MR Tablet,₹ 230,"Diarrhea,Stomach pain,Indigestion,Flatulence,Swelling of hands,Feet swelling,Flu-like symptoms,","Pain due to muscle spasm,"
Ecosprin 150 Tablet,₹ 8.79,"Heartburn,Increased bleeding tendency,Nausea,Upset stomach,Vomiting,","Prevention of Angina (heart-related chest pain),Treatment and prevention of Heart attack,Treatment and prevention of Stroke,"
Etoshine 90 Tablet,₹ 140,"Abdominal pain,Flu-like symptoms,Indigestion,Diarrhea,Flatulence,Headache,Dizziness,Palpitations,Arrhythmia (irregular heartbeats),Vomiting,Nausea,Edema (swelling),Fatigue,High blood pressure,Bruise,Constipation,Oral ulcer,Bronchospasm,Increased liver enzymes,Esophagitis,","Pain relief,"
Econorm 250mg Capsule,₹ 170,"Bloating,Flatulence,","Diarrhea,"
Emeset 4 Tablet,₹ 52.34,"Constipation,Diarrhea,Fatigue,Headache,","Nausea,Vomiting,"
Eptoin Tablet,₹ 208.02,"Rash,Headache,Dizziness,Vomiting,Nausea,Slurred speech,Vertigo,Confusion,Nervousness,Constipation,Tremor,Altered walking,","Epilepsy/Seizures,"
